H + 0         1         1    109690.4769(1s)
    1 511                 (2)0( 0.5)         0.0000    {X}
    2 513                 (2)1( 0.5)     82303.9886    {X}
    3 512                 (2)0( 0.5)     82303.9887    {X}
    4 513                 (2)1( 1.5)     82304.3538    {X}
    5 514                 (2)0( 0.5)     97545.5755    {X}
    6 515                 (2)1( 0.5)     97545.5760    {X}
    7 516                 (2)2( 1.5)     97545.6835    {X}
    8 515                 (2)1( 1.5)     97545.6843    {X}
    9 516                 (2)2( 2.5)     97545.7196    {X}
   10 518                 (2)1( 0.5)    102880.1161    {X}
   11 517                 (2)0( 0.5)    102880.1161    {X}
   12 519                 (2)2( 1.5)    102880.1617    {X}
   13 518                 (2)1( 1.5)    102880.1617    {X}
   14 519                 (2)2( 2.5)    102880.1769    {X}
   15 51A                 (2)3( 2.5)    102880.1769    {X}
   16 51A                 (2)3( 3.5)    102880.1845    {X}
   17 51C                 (2)1( 0.5)    105349.2400    {X}
   18 51B                 (2)0( 0.5)    105349.2400    {X}
   19 51D                 (2)2( 1.5)    105349.2633    {X}
   20 51C                 (2)1( 1.5)    105349.2634    {X}
   21 51D                 (2)2( 2.5)    105349.2711    {X}
   22 51E                 (2)3( 2.5)    105349.2715    {X}
   23 51F                 (2)4( 3.5)    105349.2750    {X}
   24 51E                 (2)3( 3.5)    105349.2754    {X}
   25 51F                 (2)4( 4.5)    105349.2774    {X}
   7   5 6.67-24 2.38-06 6.41-03 7.42-01 3.69+00 8.53+00 1.56+01 2.12+01 2.64+01 3.14+01 3.37+01 3.49+01 3.54+01 3.56+01 3.61+01 3.80+01
   7   6 8.49-08 4.15-04 1.11+00 1.28+02 6.24+02 1.39+03 2.34+03 2.89+03 3.34+03 3.79+03 4.05+03 4.27+03 4.50+03 4.65+03 4.79+03-1.80+02
   8   1 1.67+08 1.66-07 4.44-04 5.06-02 2.46-01 5.42-01 8.74-01 1.01+00 1.03+00 8.93-01 7.80-01 7.49-01 8.67-01 1.04+00 1.26+00-4.75-01
   8   2 1.20+01 1.95-07 5.37-04 6.63-02 3.62-01 9.78-01 2.41+00 4.02+00 5.42+00 5.58+00 4.64+00 3.63+00 2.78+00 2.46+00 2.28+00 2.04+00
   8   3 2.25+07 4.62-07 1.25-03 1.46-01 7.40-01 1.77+00 3.48+00 5.23+00 7.75+00 1.27+01 1.75+01 2.35+01 3.46+01 4.48+01 5.56+01-1.67+01
   8   4 1.20+01 5.32-07 1.46-03 1.78-01 9.52-01 2.50+00 5.86+00 9.61+00 1.33+01 1.62+01 1.73+01 1.81+01 1.92+01 1.99+01 2.04+01 2.12+01
   8   5 1.41-07 6.45-04 1.73+00 1.98+02 9.70+02 2.17+03 3.65+03 4.52+03 5.24+03 5.97+03 6.40+03 6.75+03 7.13+03 7.38+03 7.61+03-2.88+02
   8   6 1.14-14 3.42-06 9.22-03 1.07+00 5.30+00 1.22+01 2.21+01 2.99+01 3.78+01 4.67+01 5.15+01 5.44+01 5.58+01 5.65+01 5.75+01 6.09+01
   8   7 5.04-15 1.45-04 3.88-01 4.44+01 2.16+02 4.79+02 7.85+02 9.45+02 1.06+03 1.15+03 1.20+03 1.24+03 1.28+03 1.30+03 1.33+03-3.60+01
   9   1 5.94+02 4.86-08 1.30-04 1.49-02 7.19-02 1.58-01 2.49-01 2.81-01 2.73-01 2.12-01 1.57-01 1.14-01 8.54-02 7.77-02 7.60-02 8.14-02
   9   2 1.26-05 1.46-06 3.94-03 4.53-01 2.22+00 5.03+00 8.66+00 1.08+01 1.14+01 9.30+00 6.82+00 4.81+00 3.26+00 2.70+00 2.42+00 2.14+00
   9   3 5.10+01 1.32-06 3.56-03 4.13-01 2.06+00 4.80+00 8.92+00 1.21+01 1.47+01 1.64+01 1.70+01 1.78+01 1.91+01 1.99+01 2.03+01 2.02+01
   9   4 6.47+07 2.93-06 7.91-03 9.23-01 4.64+00 1.10+01 2.10+01 3.06+01 4.36+01 7.01+01 9.71+01 1.31+02 1.88+02 2.36+02 2.86+02-7.21+01
   9   5 2.82-23 3.15-06 8.49-03 9.87-01 4.93+00 1.15+01 2.14+01 2.97+01 3.77+01 4.58+01 4.97+01 5.18+01 5.27+01 5.32+01 5.39+01 5.69+01
