H + 0         1         1   109679.0
    1 1S                (2)0( 0.5)        0.0
    2 2S                (2)0( 0.5)    82259.0
    3 2P                (2)1( 2.5)    82259.0
    4 3S                (2)0( 0.5)    97492.0
    5 3P                (2)1( 2.5)    97492.0
    6 3D                (2)2( 4.5)    97492.0
    7 4S                (2)0( 0.5)   102824.0
    8 4P                (2)1( 2.5)   102824.0
    9 4D                (2)2( 4.5)   102824.0
   10 4F                (2)3( 6.5)   102824.0
   11 5S                (2)0( 0.5)   105292.0
   12 5P                (2)1( 2.5)   105292.0
   13 5D                (2)2( 4.5)   105292.0
   14 5F                (2)3( 6.5)   105292.0
   15 5G                (2)4( 8.5)   105292.0
   -1
   7   3 2.58+06 6.98-01 7.08-01 7.33-01 7.96-01 8.82-01 1.00+00 1.08+00 1.17+00 1.23+00 1.23+00 1.20+00 1.38+00 1.55+00 1.73+00
   8   3 1.00-30 2.26+00 2.26+00 2.29+00 2.54+00 2.93+00 3.54+00 4.06+00 4.89+00 5.97+00 6.62+00 7.24+00 7.43+00 7.50+00 7.42+00
   9   3 2.06+07 3.62+00 3.67+00 3.86+00 4.73+00 6.08+00 8.36+00 1.04+01 1.38+01 1.88+01 2.23+01 2.63+01 3.96+01 5.60+01 6.85+01
  10   3 1.00-30 2.70+00 2.70+00 2.76+00 3.19+00 3.72+00 4.57+00 5.24+00 6.28+00 7.62+00 8.45+00 9.24+00 9.95+00 1.04+01 1.06+01
  11   3 1.29+06 7.48-01 7.57-01 8.00-01 9.59-01 1.08+00 1.20+00 1.24+00 1.27+00 1.24+00 1.17+00 1.10+00 9.83-01 8.67-01 8.26-01
  12   3 1.00-30 2.43+00 2.43+00 2.50+00 2.98+00 3.34+00 3.75+00 3.96+00 4.20+00 4.41+00 4.47+00 4.52+00 4.09+00 3.62+00 3.31+00
  13   3 9.43+06 3.90+00 3.95+00 4.18+00 5.13+00 6.07+00 7.32+00 8.24+00 9.58+00 1.13+01 1.23+01 1.33+01 1.69+01 2.12+01 2.47+01
  14   3 1.00-30 3.26+00 3.26+00 3.35+00 3.92+00 4.31+00 4.78+00 5.02+00 5.29+00 5.57+00 5.69+00 5.79+00 5.66+00 5.49+00 5.38+00
  15   3 1.00-30 9.84-01 9.84-01 9.92-01 1.04+00 1.07+00 1.11+00 1.11+00 1.09+00 1.04+00 9.79-01 8.99-01 7.42-01 5.57-01 4.50-01
   7   4 1.00-30 2.54+00 2.54+00 2.63+00 3.28+00 4.41+00 6.62+00 8.89+00 1.32+01 1.99+01 2.47+01 2.94+01 3.42+01 3.95+01 4.20+01
   8   4 3.07+06 4.41+00 4.61+00 4.95+00 5.26+00 6.05+00 8.00+00 1.05+01 1.65+01 2.91+01 4.09+01 5.57+01 1.24+02 2.04+02 2.67+02
   9   4 1.00-30 5.80+00 5.80+00 6.03+00 7.64+00 1.00+01 1.44+01 1.87+01 2.67+01 3.92+01 4.80+01 5.66+01 7.41+01 9.04+01 9.92+01
  10   4 1.00-30 5.78+00 5.78+00 6.15+00 8.64+00 1.19+01 1.69+01 2.13+01 2.81+01 3.68+01 4.21+01 4.70+01 4.85+01 5.02+01 5.04+01
  11   4 1.00-30 1.95+00 1.95+00 2.02+00 2.50+00 3.09+00 4.02+00 4.83+00 6.17+00 7.95+00 9.04+00 1.00+01 9.64+00 9.46+00 9.20+00
  12   4 1.64+06 4.25+00 4.39+00 4.75+00 5.53+00 6.32+00 7.30+00 8.18+00 1.02+01 1.19+01 1.36+01 1.75+01 2.73+01 4.05+01 5.08+01
  13   4 1.00-30 5.36+00 5.36+00 5.57+00 6.85+00 8.09+00 9.73+00 1.09+01 1.26+01 1.44+01 1.53+01 1.63+01 1.68+01 1.71+01 1.72+01
  14   4 1.00-30 4.08+00 4.08+00 4.24+00 5.22+00 6.04+00 6.92+00 7.39+00 7.83+00 8.02+00 7.94+00 7.76+00 6.94+00 5.99+00 5.41+00
  15   4 1.00-30 5.08+00 5.08+00 5.34+00 6.87+00 8.18+00 9.79+00 1.08+01 1.22+01 1.34+01 1.38+01 1.40+01 1.33+01 1.22+01 1.16+01
   7   5 1.84+06 3.96+00 4.13+00 4.46+00 4.80+00 5.47+00 6.66+00 7.79+00 9.84+00 1.30+01 1.53+01 1.79+01 3.68+01 5.48+01 6.81+01
   8   5 1.00-30 1.43+01 1.43+01 1.47+01 1.74+01 2.19+01 3.08+01 3.98+01 5.67+01 8.27+01 1.01+02 1.19+02 1.32+02 1.49+02 1.57+02
   9   5 7.04+06 1.84+01 1.92+01 2.11+01 2.50+01 3.20+01 4.58+01 6.11+01 9.46+01 1.58+02 2.15+02 2.86+02 7.49+02 1.08+03 1.33+03
  10   5 1.00-30 2.20+01 2.20+01 2.33+01 3.19+01 4.37+01 6.36+01 8.20+01 1.14+02 1.60+02 1.91+02 2.22+02 2.69+02 3.14+02 3.36+02
  11   5 9.05+05 3.83+00 3.83+00 3.92+00 4.44+00 4.88+00 5.44+00 5.83+00 6.35+00 6.87+00 7.08+00 7.22+00 8.74+00 1.05+01 1.19+01
  12   5 1.00-30 1.43+01 1.43+01 1.47+01 1.72+01 1.95+01 2.29+01 2.56+01 2.98+01 3.51+01 3.83+01 4.12+01 3.76+01 3.58+01 3.46+01
  13   5 3.39+06 1.71+01 1.76+01 1.93+01 2.39+01 2.88+01 3.54+01 4.06+01 4.92+01 6.17+01 7.07+01 8.08+01 1.30+02 1.82+02 2.21+02
  14   5 1.00-30 1.64+01 1.64+01 1.71+01 2.11+01 2.45+01 2.84+01 3.07+01 3.32+01 3.53+01 3.59+01 3.59+01 3.37+01 3.13+01 2.99+01
  15   5 1.00-30 1.90+01 1.90+01 1.98+01 2.48+01 2.92+01 3.47+01 3.83+01 4.30+01 4.80+01 5.01+01 5.14+01 4.74+01 4.40+01 4.17+01
   7   6 1.00-30 4.35+00 4.35+00 4.38+00 4.54+00 4.71+00 5.01+00 5.28+00 5.73+00 6.30+00 6.65+00 6.96+00 6.66+00 6.68+00 6.65+00
   8   6 3.48+05 1.46+01 1.46+01 1.48+01 1.61+01 1.80+01 2.10+01 2.34+01 2.71+01 3.12+01 3.31+01 3.44+01 4.31+01 5.15+01 5.77+01
   9   6 1.00-30 3.40+01 3.40+01 3.49+01 4.11+01 5.03+01 6.70+01 8.28+01 1.11+02 1.51+02 1.78+02 2.04+02 2.02+02 2.14+02 2.19+02
  10   6 1.38+07 5.39+01 5.62+01 6.33+01 8.54+01 1.21+02 1.85+02 2.54+02 3.91+02 6.23+02 7.94+02 9.78+02 3.01+03 3.90+03 4.53+03
  11   6 1.00-30 3.79+00 3.79+00 3.90+00 4.49+00 4.83+00 5.05+00 5.06+00 4.89+00 4.51+00 4.22+00 3.91+00 3.10+00 2.41+00 2.05+00
  12   6 1.50+05 1.58+01 1.58+01 1.61+01 1.76+01 1.83+01 1.90+01 1.92+01 1.91+01 1.84+01 1.76+01 1.65+01 1.45+01 1.29+01 1.23+01
  13   6 1.00-30 2.94+01 2.94+01 3.03+01 3.60+01 4.09+01 4.71+01 5.14+01 5.72+01 6.36+01 6.70+01 6.98+01 5.86+01 5.18+01 4.79+01
  14   6 4.54+06 5.52+01 5.70+01 6.21+01 7.50+01 8.89+01 1.08+02 1.24+02 1.49+02 1.83+02 2.04+02 2.25+02 3.45+02 4.53+02 5.30+02
  15   6 1.00-30 4.07+01 4.07+01 4.21+01 5.01+01 5.71+01 6.65+01 7.33+01 8.34+01 9.70+01 1.05+02 1.10+02 1.11+02 1.13+02 1.14+02
  11   7 1.00-30 6.98+00 6.98+00 7.67+00 1.21+01 1.84+01 2.90+01 3.90+01 5.62+01 8.05+01 9.72+01 1.13+02 1.15+02 1.24+02 1.28+02
  12   7 7.37+05 1.20+01 1.20+01 1.27+01 1.68+01 2.22+01 3.10+01 3.97+01 5.57+01 8.26+01 1.04+02 1.27+02 4.62+02 6.70+02 8.18+02
  13   7 1.00-30 1.57+01 1.57+01 1.68+01 2.31+01 3.12+01 4.46+01 5.72+01 7.96+01 1.13+02 1.37+02 1.60+02 1.92+02 2.23+02 2.37+02
  14   7 1.00-30 2.87+01 2.87+01 3.06+01 4.15+01 5.27+01 6.73+01 7.78+01 9.20+01 1.09+02 1.17+02 1.22+02 1.19+02 1.19+02 1.18+02
  15   7 1.00-30 3.27+01 3.27+01 3.45+01 4.36+01 5.13+01 5.98+01 6.49+01 7.06+01 7.52+01 7.63+01 7.61+01 7.21+01 6.82+01 6.60+01
  11   8 6.45+05 1.51+01 1.51+01 1.60+01 2.14+01 2.71+01 3.48+01 4.04+01 4.80+01 5.65+01 6.11+01 6.47+01 1.69+02 2.31+02 2.74+02
  12   8 1.00-30 4.55+01 4.55+01 4.88+01 6.90+01 9.58+01 1.39+02 1.80+02 2.53+02 3.65+02 4.50+02 5.34+02 4.39+02 4.65+02 4.76+02
  13   8 1.49+06 4.07+01 4.38+01 5.11+01 6.72+01 9.05+01 1.30+02 1.70+02 2.48+02 3.84+02 5.01+02 6.44+02 2.20+03 2.85+03 3.33+03
  14   8 1.00-30 8.31+01 8.31+01 8.89+01 1.22+02 1.60+02 2.14+02 2.59+02 3.32+02 4.29+02 4.89+02 5.41+02 7.07+02 7.89+02 8.25+02
  15   8 1.00-30 1.11+02 1.11+02 1.18+02 1.53+02 1.85+02 2.23+02 2.47+02 2.77+02 3.08+02 3.20+02 3.28+02 3.12+02 3.09+02 3.07+02
  11   9 1.00-30 1.60+01 1.60+01 1.66+01 1.96+01 2.22+01 2.52+01 2.73+01 3.00+01 3.30+01 3.48+01 3.63+01 3.34+01 3.27+01 3.22+01
