 H0 depl. Rate(jt,jn) (cm**3 s**-1)  Te(jt) = 10**(-1.2 + (jt-1)/10) jt= 1,60
 jn =   1; jt = 1 -> 60 going by rows   ne(jn) = 10**(10 + 0.5*(jn-1)) jn=1,15
 -1.00000E-89 -8.23514E-69 -2.71317E-57 -2.66585E-45 -8.79947E-36 -3.16283E-28
 -3.15323E-22 -1.83420E-17 -1.12534E-13 -1.16683E-10 -2.97480E-08 -2.51111E-06
 -8.57971E-05 -1.50074E-03 -1.51826E-02 -9.93555E-02 -4.58972E-01 -1.60312E+00
 -4.46589E+00 -1.03558E+01 -2.06751E+01 -3.65749E+01 -5.84839E+01 -8.59216E+01
 -1.17700E+02 -1.52155E+02 -1.87465E+02 -2.21895E+02 -2.53935E+02 -2.82342E+02
 -3.06141E+02 -3.24630E+02 -3.37401E+02 -3.44364E+02 -3.45743E+02 -3.42046E+02
 -3.33990E+02 -3.22410E+02 -3.08169E+02 -2.86297E+02 -2.66209E+02 -2.46946E+02
 -2.28604E+02 -2.11240E+02 -1.94798E+02 -1.79424E+02 -1.65048E+02 -1.51644E+02
 -1.39180E+02 -1.27614E+02 -1.16905E+02 -1.07006E+02 -9.78692E+01 -8.94489E+01
 -8.16984E+01 -7.45728E+01 -6.80287E+01 -6.20244E+01 -5.65204E+01 -5.14793E+01

 jn =   2
 -3.16228E-89 -3.72715E-71 -2.47682E-56 -1.61025E-44 -4.93964E-35 -1.66735E-27
 -1.57378E-21 -8.71423E-17 -5.10452E-13 -5.05952E-10 -1.23368E-07 -9.96753E-06
 -3.28516E-04 -5.53778E-03 -5.42413E-02 -3.45457E-01 -1.56121E+00 -5.35990E+00
 -1.47351E+01 -3.38266E+01 -6.70299E+01 -1.18017E+02 -1.88109E+02 -2.75652E+02
 -3.76852E+02 -4.86390E+02 -5.98496E+02 -7.07683E+02 -8.09186E+02 -8.99089E+02
 -9.74329E+02 -1.03271E+03 -1.07295E+03 -1.09479E+03 -1.09894E+03 -1.08702E+03
 -1.06131E+03 -1.02445E+03 -9.79168E+02 -9.09765E+02 -8.46001E+02 -7.84858E+02
 -7.26634E+02 -6.71510E+02 -6.19123E+02 -5.70254E+02 -5.24546E+02 -4.81928E+02
 -4.42292E+02 -4.05512E+02 -3.71454E+02 -3.39970E+02 -3.10912E+02 -2.84131E+02
 -2.59482E+02 -2.36821E+02 -2.16010E+02 -1.96917E+02 -1.79417E+02 -1.63390E+02

 jn =   3
 -1.00000E-88 -8.25491E-68 -1.32124E-55 -1.08123E-43 -3.03359E-34 -9.48783E-27
 -8.38562E-21 -4.38472E-16 -2.43932E-12 -2.30382E-09 -5.36106E-07 -4.13704E-05
 -1.31130E-03 -2.12229E-02 -2.00320E-01 -1.23534E+00 -5.43439E+00 -1.82547E+01
